timestamp,reflectivity_max,reflectivity_mean,brightness_temp_min,motion_vector_x,motion_vector_y,temperature,dew_point,pressure,wind_speed,wind_gust,wind_direction,visibility,rain,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,wind_direction_weather,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,last_updated_epoch_air,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,last_updated_epoch_loc,country,location_name,region,latitude,longitude,timezone,last_updated
2023-08-25 23:45:00,,,,,,,,,,,,,,1693007100.0,24.0,75.2,6.9,11.2,40.0,NE,1002.0,29.59,0.0,0.0,100.0,100.0,26.1,78.9,2.1,1.0,1.0,6.5,10.4,1693007100.0,620.8,23.3,20.2,29.1,26.0,34.5,2.0,3.0,1693007100.0,India,Shahdara,Delhi,28.67,77.32,Asia/Kolkata,2023-09-10 04:30:00
2023-08-25 23:50:00,,,,,,,,,,,,,,1693007400.0,22.1,71.8,2.9,4.7,301.0,WNW,1005.0,29.67,0.4,0.02,93.0,87.0,24.6,76.3,10.0,6.0,1.0,4.3,6.8,1693007400.0,403.9,26.8,2.5,0.2,10.3,11.2,1.0,1.0,1693007400.0,India,Darjiling,West Bengal,27.03,88.27,Asia/Kolkata,2023-09-11 04:30:00
2023-08-25 23:55:00,,,,,,,,,,,,,,1693007700.0,23.5,74.3,3.4,5.4,242.0,WSW,1002.0,29.58,0.0,0.0,97.0,76.0,26.1,79.0,2.0,1.0,1.0,5.6,9.0,1693007700.0,567.4,11.6,4.6,2.4,23.4,24.2,2.0,2.0,1693007700.0,India,Shahdol,Madhya Pradesh,23.28,81.35,Asia/Kolkata,2023-09-12 04:30:00
2023-08-26 00:00:00,,,,,,,,,,,,,,1693008000.0,23.8,74.8,5.8,9.4,272.0,W,1003.0,29.62,0.0,0.0,90.0,88.0,26.1,79.0,10.0,6.0,1.0,11.0,17.6,1693008000.0,280.4,23.3,6.9,9.2,20.4,23.8,2.0,2.0,1693008000.0,India,Chandrapur,Maharashtra,19.95,79.3,Asia/Kolkata,2023-09-12 04:30:00
2023-08-26 00:05:00,,,,,,,,,,,,,,1693008300.0,26.8,80.2,9.6,15.5,243.0,WSW,1004.0,29.65,0.0,0.0,73.0,27.0,29.1,84.4,10.0,6.0,1.0,14.3,23.0,1693008300.0,196.9,29.0,5.1,6.5,15.0,21.0,1.0,2.0,1693008300.0,India,Morbi,Gujarat,22.82,70.83,Asia/Kolkata,2023-09-13 04:15:00
2023-08-26 00:10:00,,,,,,,,,,,,,,1693008600.0,24.2,75.6,3.6,5.8,226.0,SW,1003.0,29.62,0.0,0.0,74.0,47.0,25.9,78.6,10.0,6.0,1.0,6.0,9.7,1693008600.0,208.6,47.9,1.8,0.9,6.9,20.5,1.0,1.0,1693008600.0,India,Bhilwara,Rajasthan,25.35,74.63,Asia/Kolkata,2023-09-13 04:15:00
2023-08-26 00:15:00,,,,,,,,,,,,,,1693008900.0,29.8,85.6,11.4,18.4,97.0,E,1003.0,29.63,0.0,0.0,74.0,15.0,35.5,95.9,10.0,6.0,1.0,19.0,30.6,1693008900.0,921.3,29.0,23.7,6.7,57.9,82.1,3.0,7.0,1693008900.0,India,Madhubani,Bihar,26.37,86.08,Asia/Kolkata,2023-09-14 20:00:00
2023-08-26 00:20:00,,,,,,,,,,,,,,1693009200.0,29.0,84.2,4.3,6.8,110.0,ESE,1003.0,29.62,0.0,0.0,100.0,50.0,33.6,92.4,5.0,3.0,1.0,4.7,7.6,1693009200.0,921.3,3.2,13.4,3.2,33.1,52.4,2.0,3.0,1693009200.0,India,Pilibhit,Uttar Pradesh,28.63,79.8,Asia/Kolkata,2023-09-14 20:00:00
2023-08-26 00:25:00,,,,,,,,,,,,,,1693009500.0,25.0,77.0,7.6,12.2,236.0,WSW,1003.0,29.63,0.0,0.0,84.0,25.0,27.3,81.1,10.0,6.0,1.0,12.8,20.5,1693009500.0,514.0,14.3,12.7,8.4,41.0,43.8,3.0,4.0,1693009500.0,India,Yanam,Andhra Pradesh,16.73,82.22,Asia/Kolkata,2023-09-15 04:00:00
2023-08-26 00:30:00,,,,,,,,,,,,,,1693009800.0,22.7,72.9,9.8,15.8,267.0,W,1005.0,29.67,0.0,0.0,97.0,100.0,25.1,77.2,10.0,6.0,1.0,14.1,22.7,1693009800.0,333.8,39.3,3.5,3.2,33.4,40.6,2.0,3.0,1693009800.0,India,Banswara,Rajasthan,23.55,74.45,Asia/Kolkata,2023-09-15 04:15:00
2023-08-26 00:35:00,,,,,,,,,,,,,,1693010100.0,23.5,74.3,2.2,3.6,185.0,S,1004.0,29.65,0.0,0.0,95.0,51.0,25.9,78.6,2.0,1.0,1.0,3.6,5.8,1693010100.0,393.9,11.6,4.0,0.9,13.6,14.9,1.0,2.0,1693010100.0,India,Janjgir,Chhattisgarh,22.02,82.57,Asia/Kolkata,2023-09-16 04:15:00
2023-08-26 00:40:00,,,,,,,,,,,,,,1693010400.0,21.0,69.8,3.8,6.1,241.0,WSW,1005.0,29.69,0.0,0.0,96.0,37.0,21.0,69.8,2.0,1.0,1.0,6.7,10.8,1693010400.0,257.0,13.8,3.4,0.8,5.0,6.7,1.0,1.0,1693010400.0,India,Balaghat,Madhya Pradesh,21.78,80.25,Asia/Kolkata,2023-09-17 04:00:00
2023-08-26 00:45:00,,,,,,,,,,,,,,1693010700.0,26.4,79.5,5.8,9.4,132.0,SE,1002.0,29.59,0.0,0.0,81.0,9.0,29.2,84.6,10.0,6.0,1.0,11.9,19.1,1693010700.0,934.6,47.2,5.6,3.5,144.1,150.1,4.0,10.0,1693010700.0,India,Muktsar,Punjab,30.48,74.52,Asia/Kolkata,2023-09-17 04:00:00
2023-08-26 00:50:00,,,,,,,,,,,,,,1693011000.0,24.4,75.9,2.2,3.6,50.0,NE,1003.0,29.61,0.0,0.0,70.0,24.0,26.0,78.8,10.0,6.0,1.0,4.7,7.6,1693011000.0,1121.5,0.3,20.7,5.7,60.7,78.4,3.0,8.0,1693011000.0,India,Jammu,Jammu and Kashmir,32.73,74.87,Asia/Kolkata,2023-09-18 04:15:00
2023-08-26 00:55:00,,,,,,,,,,,,,,1693011300.0,22.1,71.8,8.7,14.0,228.0,SW,1005.0,29.69,0.0,0.0,83.0,7.0,24.6,76.2,10.0,6.0,1.0,13.9,22.3,1693011300.0,198.6,24.7,2.1,0.6,2.2,3.9,1.0,1.0,1693011300.0,India,Bid,Maharashtra,18.98,75.77,Asia/Kolkata,2023-09-18 04:15:00
2023-08-26 01:00:00,,,,,,,,,,,,,,1693011600.0,26.1,79.1,3.1,5.0,230.0,SW,1004.0,29.65,0.0,0.0,70.0,17.0,28.0,82.3,10.0,6.0,1.0,5.9,9.4,1693011600.0,594.1,7.0,5.7,0.7,61.0,64.2,3.0,8.0,1693011600.0,India,Latehar,Jharkhand,23.75,84.5,Asia/Kolkata,2023-09-19 04:00:00
2023-08-26 01:05:00,,,,,,,,,,,,,,1693011900.0,24.2,75.6,6.9,11.2,235.0,SW,1008.0,29.75,0.0,0.0,87.0,24.0,26.4,79.6,10.0,6.0,1.0,12.3,19.9,1693011900.0,357.2,11.6,5.7,0.8,10.1,12.4,1.0,1.0,1693011900.0,India,Tiruvannamalai,Tamil Nadu,12.22,79.07,Asia/Kolkata,2023-09-19 04:15:00
2023-08-26 01:10:00,,,,,,,,,,,,,,1693012200.0,29.6,85.2,3.6,5.8,177.0,S,1006.0,29.7,0.0,0.0,63.0,29.0,32.8,91.1,10.0,6.0,1.0,5.7,9.2,1693012200.0,1815.8,0.0,25.0,3.5,106.2,137.3,4.0,10.0,1693012200.0,India,Jhajjar,Haryana,28.62,76.65,Asia/Kolkata,2023-09-20 04:00:00
2023-08-26 01:15:00,,,,,,,,,,,,,,1693012500.0,26.4,79.5,6.0,9.7,91.0,E,1006.0,29.7,0.0,0.0,83.0,26.0,29.5,85.2,10.0,6.0,1.0,11.1,17.9,1693012500.0,1161.6,10.4,18.2,4.7,108.6,116.5,4.0,10.0,1693012500.0,India,Gonda,Uttar Pradesh,27.13,81.93,Asia/Kolkata,2023-09-20 04:15:00
2023-08-26 01:20:00,,,,,,,,,,,,,,1693012800.0,19.1,66.4,2.2,3.6,69.0,ENE,1010.0,29.83,2.67,0.11,100.0,100.0,19.1,66.4,7.0,4.0,1.0,4.6,7.5,1693012800.0,407.2,3.0,10.7,0.5,5.7,6.4,1.0,1.0,1693012800.0,India,Tamenglong,Manipur,24.97,93.55,Asia/Kolkata,2023-09-21 04:00:00
2023-08-26 01:25:00,,,,,,,,,,,,,,1693013100.0,24.3,75.7,5.8,9.4,270.0,W,1006.0,29.71,2.27,0.09,86.0,87.0,26.5,79.6,10.0,6.0,1.0,12.2,19.7,1693013100.0,317.1,30.8,3.8,0.5,11.3,13.9,1.0,1.0,1693013100.0,India,Siddipet,Andhra Pradesh,18.1,78.85,Asia/Kolkata,2023-09-21 04:15:00
2023-08-26 01:30:00,,,,,,,,,,,,,,1693013400.0,22.5,72.4,2.2,3.6,107.0,ESE,1005.0,29.68,0.8,0.03,97.0,100.0,25.0,76.9,10.0,6.0,1.0,1.1,1.7,1693013400.0,540.7,49.4,1.8,1.9,13.7,14.2,1.0,2.0,1693013400.0,India,Nagar,Chhattisgarh,23.27,82.45,Asia/Kolkata,2023-09-22 04:00:00
2023-08-26 01:35:00,,,,,,,,,,,,,,1693013700.0,24.8,76.6,2.2,3.6,335.0,NNW,1005.0,29.69,0.0,0.0,84.0,17.0,27.1,80.7,10.0,6.0,1.0,3.4,5.5,1693013700.0,377.2,18.1,3.7,1.1,27.0,28.7,2.0,3.0,1693013700.0,India,Guna,Madhya Pradesh,24.65,77.32,Asia/Kolkata,2023-09-23 03:45:00
2023-08-26 01:40:00,,,,,,,,,,,,,,1693014000.0,19.5,67.1,4.5,7.2,250.0,WSW,1010.0,29.84,0.02,0.0,96.0,72.0,19.5,67.1,2.0,1.0,1.0,7.0,11.3,1693014000.0,273.7,10.4,4.7,0.5,7.2,8.4,1.0,1.0,1693014000.0,India,Chikmagalur,Karnataka,13.32,75.78,Asia/Kolkata,2023-09-23 03:45:00
2023-08-26 01:45:00,,,,,,,,,,,,,,1693014300.0,22.9,73.2,4.5,7.2,62.0,ENE,1006.0,29.7,0.0,0.0,66.0,5.0,24.9,76.9,10.0,6.0,1.0,9.4,15.1,1693014300.0,580.8,11.1,15.4,1.1,25.9,34.7,2.0,3.0,1693014300.0,India,Kathua,Jammu and Kashmir,32.37,75.52,Asia/Kolkata,2023-09-24 03:45:00
2023-08-26 01:50:00,,,,,,,,,,,,,,1693014600.0,21.3,70.3,2.7,4.3,197.0,SSW,1008.0,29.77,0.48,0.02,94.0,56.0,21.3,70.3,10.0,6.0,1.0,4.6,7.4,1693014600.0,383.9,18.4,3.0,0.4,6.5,6.7,1.0,1.0,1693014600.0,India,Koraput,Orissa,18.82,82.72,Asia/Kolkata,2023-09-24 04:00:00
2023-08-26 01:55:00,,,,,,,,,,,,,,1693014900.0,24.5,76.1,2.2,3.6,127.0,SE,1005.0,29.66,0.0,0.0,95.0,49.0,27.3,81.2,2.0,1.0,1.0,2.3,3.6,1693014900.0,907.9,0.5,37.0,39.6,58.2,59.8,3.0,7.0,1693014900.0,India,Giridih,Jharkhand,24.18,86.3,Asia/Kolkata,2023-09-25 03:30:00
2023-08-26 02:00:00,,,,,,,,,,,,,,1693015200.0,26.2,79.1,8.1,13.0,259.0,W,1007.0,29.73,0.2,0.01,82.0,88.0,29.0,84.2,9.0,5.0,1.0,13.0,20.8,1693015200.0,507.4,12.9,11.5,1.8,15.9,20.7,2.0,2.0,1693015200.0,India,Thiruvarur,Tamil Nadu,10.77,79.65,Asia/Kolkata,2023-09-25 03:45:00
2023-08-26 02:05:00,,,,,,,,,,,,,,1693015500.0,25.2,77.3,2.2,3.6,300.0,WNW,1006.0,29.7,0.0,0.0,72.0,14.0,26.9,80.4,10.0,6.0,1.0,2.8,4.5,1693015500.0,1215.0,0.1,14.4,1.8,98.1,117.2,4.0,10.0,1693015500.0,India,Jind,Haryana,29.32,76.32,Asia/Kolkata,2023-09-26 03:45:00
2023-08-26 02:10:00,,,,,,,,,,,,,,1693015800.0,25.0,77.0,3.8,6.1,70.0,ENE,1006.0,29.71,0.0,0.0,89.0,25.0,26.9,80.3,5.0,3.0,1.0,4.7,7.5,1693015800.0,707.6,22.7,12.0,6.4,30.0,37.9,2.0,3.0,1693015800.0,India,Unnao,Uttar Pradesh,26.53,80.5,Asia/Kolkata,2023-09-26 03:45:00
2023-08-26 02:15:00,,,,,,,,,,,,,,1693016100.0,22.4,72.2,2.2,3.6,178.0,S,1007.0,29.73,0.9,0.04,98.0,53.0,24.9,76.8,10.0,6.0,1.0,4.5,7.3,1693016100.0,227.0,0.8,0.9,0.1,7.2,8.9,1.0,1.0,1693016100.0,India,Kohima,Nagaland,25.67,94.12,Asia/Kolkata,2023-09-27 03:30:00
2023-08-26 02:20:00,,,,,,,,,,,,,,1693016400.0,26.5,79.8,5.4,8.6,220.0,SW,1005.0,29.68,0.0,0.0,89.0,39.0,30.5,86.9,10.0,6.0,1.0,9.3,15.0,1693016400.0,494.0,8.2,7.7,2.4,14.4,30.5,1.0,2.0,1693016400.0,India,Biswanath,West Bengal,22.04,88.05,Asia/Kolkata,2023-09-27 03:45:00
2023-08-26 02:25:00,,,,,,,,,,,,,,1693016700.0,25.0,77.0,11.9,19.1,220.0,SW,1009.0,29.8,0.0,0.0,89.0,50.0,28.3,82.9,4.0,2.0,1.0,14.0,22.5,1693016700.0,357.2,11.8,7.9,4.1,9.9,11.9,1.0,1.0,1693016700.0,India,Palakkad,Kerala,10.77,76.65,Asia/Kolkata,2023-09-28 03:30:00
2023-08-26 02:30:00,,,,,,,,,,,,,,1693017000.0,25.3,77.6,2.2,3.6,23.0,NNE,1006.0,29.69,0.0,0.0,49.0,21.0,26.0,78.9,10.0,6.0,1.0,3.8,6.0,1693017000.0,614.2,27.2,7.2,1.5,106.0,152.5,4.0,10.0,1693017000.0,India,Gwalior,Madhya Pradesh,26.22,78.18,Asia/Kolkata,2023-09-29 04:00:00
2023-08-26 02:35:00,,,,,,,,,,,,,,1693017300.0,19.5,67.0,10.5,16.9,234.0,SW,1009.0,29.8,0.0,0.0,91.0,79.0,19.5,67.0,10.0,6.0,1.0,14.5,23.3,1693017300.0,240.3,18.8,1.5,0.1,0.6,0.9,1.0,1.0,1693017300.0,India,Hassan,Karnataka,13.0,76.1,Asia/Kolkata,2023-09-29 04:15:00
2023-08-26 02:40:00,,,,,,,,,,,,,,1693017600.0,27.3,81.1,7.4,11.9,276.0,W,1006.0,29.7,0.0,0.0,71.0,19.0,29.8,85.6,10.0,6.0,1.0,11.6,18.7,1693017600.0,300.4,18.2,6.3,3.6,40.9,77.0,3.0,4.0,1693017600.0,India,Rajkot,Gujarat,22.3,70.78,Asia/Kolkata,2023-09-30 03:15:00
2023-08-26 02:45:00,,,,,,,,,,,,,,1693017900.0,20.6,69.1,2.2,3.6,311.0,NW,1005.0,29.69,0.02,0.0,95.0,86.0,20.6,69.1,2.0,1.0,1.0,4.7,7.6,1693017900.0,507.4,22.2,4.6,0.5,55.0,56.6,3.0,7.0,1693017900.0,India,Rayagada,Orissa,19.17,83.42,Asia/Kolkata,2023-09-30 03:15:00
