last_updated_epoch,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index
1693000133,207.0,60.8,2.6,6.4,13.4,18.1,1,2
1693000134,223.6,58.7,6.9,9.8,16.2,21.5,2,2
1693000135,260.4,60.8,4.9,13.0,21.3,32.6,2,2
1693000136,223.6,58.7,6.9,9.8,16.2,21.5,2,2
1693000137,333.8,70.1,4.4,5.7,24.7,27.8,2,3
1693000138,460.6,113.0,3.8,10.5,61.1,72.2,3,8
1693000139,600.8,123.0,2.4,10.3,94.3,108.4,4,10
1693000140,514.0,113.0,2.3,7.9,71.9,81.0,4,10
1693000141,350.5,65.8,5.1,5.9,26.4,32.4,2,3
1693000142,380.5,101.6,2.9,6.7,46.5,58.7,3,5
1693000143,188.6,22.5,3.5,6.7,7.2,8.9,1,1
1693000144,363.8,80.8,4.4,5.7,27.1,31.1,2,3
1693000145,397.2,105.9,1.2,3.1,49.0,55.1,3,6
1693000146,383.9,74.4,6.6,5.7,24.4,30.0,2,3
1693000147,240.3,77.3,6.8,14.8,47.4,57.4,3,5
1693000148,327.1,82.3,0.5,0.4,6.3,7.8,1,1
1693000149,480.7,124.5,3.4,8.9,64.5,75.3,3,8
1693000150,423.9,60.1,5.7,5.8,17.8,21.6,2,2
1693000151,407.2,69.4,5.2,8.2,19.0,22.8,2,2
1693000152,640.9,58.7,9.3,9.1,55.1,63.7,3,7
1693000153,330.5,101.6,2.5,7.5,39.7,48.2,2,4
1693000154,567.4,57.2,13.5,16.9,52.6,63.4,3,6
1693000155,480.7,124.5,3.4,8.9,64.5,75.3,3,8
1693000156,337.1,64.4,5.8,6.0,18.9,21.8,2,2
1693000157,310.4,98.7,2.6,14.2,65.7,74.5,4,9
1693000158,474.0,62.9,13.2,17.9,39.6,47.5,2,4
1693000159,427.3,69.4,7.7,9.7,29.4,35.8,2,3
1693000160,417.2,44.7,5.0,3.7,28.7,37.5,2,3
1693000161,460.6,105.9,6.9,15.5,53.3,63.0,3,6
1693000162,460.6,105.9,6.9,15.5,53.3,63.0,3,6
1693000163,640.9,58.7,9.3,9.1,55.1,63.7,3,7
1693000164,460.6,80.8,7.1,12.2,40.7,48.4,3,4
1693000165,377.2,86.6,3.0,4.3,38.6,48.3,2,4
1693000166,460.6,80.8,7.1,12.2,40.7,48.4,3,4
1693000167,540.7,124.5,2.6,9.1,83.0,95.8,4,10
1693000168,327.1,78.7,5.7,8.2,28.6,115.8,2,3
1693000169,640.9,147.3,10.5,57.7,153.3,180.4,5,10
1693000170,270.4,75.8,3.5,1.7,23.8,101.2,2,2
1693000171,253.7,71.5,2.2,2.0,25.4,114.6,2,3
1693000172,207.0,68.0,1.4,2.3,34.2,164.7,2,3
1693000173,253.7,70.1,2.2,3.9,34.4,139.3,2,3
1693000174,263.7,73.7,2.4,2.3,25.5,106.2,2,3
1693000175,587.5,98.7,6.4,4.5,66.1,128.5,4,9
1693000176,230.3,68.7,2.0,3.4,33.9,148.5,2,3
1693000177,277.0,73.0,3.6,2.8,27.1,104.8,2,3
1693000178,233.7,71.5,1.8,1.4,27.7,134.9,2,3
1693000179,203.6,60.1,1.6,3.6,33.4,151.2,2,3
1693000180,600.8,75.1,18.7,32.4,41.2,128.1,3,4
1693000181,201.9,58.7,2.1,5.3,32.6,145.7,2,3
1693000182,196.9,61.5,1.4,3.5,32.5,145.1,2,3
1693000183,237.0,70.1,2.1,1.3,28.4,141.3,2,3
1693000184,230.3,67.2,1.8,1.9,29.2,134.6,2,3
1693000185,741.0,123.0,3.9,11.6,121.1,152.7,4,10
1693000186,841.1,151.6,7.8,26.9,140.2,159.9,4,10
1693000187,247.0,25.0,4.1,2.8,4.9,6.1,1,1
1693000188,233.7,22.9,0.4,0.4,3.4,6.0,1,1
1693000189,233.7,72.2,0.7,2.2,16.1,18.5,2,2
1693000190,181.9,31.5,1.1,0.5,2.0,3.8,1,1
1693000191,198.6,80.8,0.2,0.0,3.0,3.4,1,1
1693000192,507.4,86.6,2.3,2.6,54.2,59.7,3,7
1693000193,614.2,107.3,4.6,8.8,38.7,42.4,2,4
1693000194,560.8,75.8,3.0,2.8,66.9,74.0,4,9
1693000195,467.3,42.9,3.0,3.0,20.6,22.4,2,2
1693000196,340.5,53.6,0.5,0.5,3.2,3.8,1,1
1693000197,433.9,36.5,2.2,1.9,13.9,15.4,1,2
1693000198,377.2,45.8,1.0,0.6,3.9,4.3,1,1
1693000199,474.0,108.7,2.1,8.1,77.2,110.0,4,10
1693000200,507.4,86.6,2.3,2.6,54.2,59.7,3,7
1693000201,417.2,83.0,0.3,1.2,32.7,35.4,2,3
1693000202,200.3,22.4,1.3,0.5,3.7,4.5,1,1
1693000203,594.1,59.4,3.6,1.6,16.8,18.6,2,2
1693000204,377.2,45.8,1.0,0.6,3.9,4.3,1,1
1693000205,507.4,86.6,2.3,2.6,54.2,59.7,3,7
1693000206,1014.7,37.2,28.1,6.6,38.6,50.5,2,4
1693000207,507.4,48.6,2.5,1.3,8.4,9.9,1,1
1693000208,507.4,86.6,2.3,2.6,54.2,59.7,3,7
1693000209,454.0,52.2,1.1,0.6,7.5,8.5,1,1
1693000210,377.2,105.9,8.4,23.4,60.0,65.2,3,8
1693000211,330.5,39.7,11.5,6.6,13.2,17.9,1,2
1693000212,277.0,50.1,4.1,2.1,7.0,9.5,1,1
1693000213,230.3,28.3,4.1,3.1,6.6,11.6,1,1
1693000214,290.4,31.8,0.9,0.1,3.9,4.1,1,1
1693000215,253.7,33.6,0.7,0.1,6.4,6.6,1,1
1693000216,253.7,33.6,0.7,0.1,6.4,6.6,1,1
1693000217,290.4,31.8,0.9,0.1,3.9,4.1,1,1
1693000218,303.8,36.1,1.1,0.7,9.5,9.9,1,1
1693000219,303.8,36.1,1.1,0.7,9.5,9.9,1,1
1693000220,247.0,25.0,4.1,2.8,4.9,6.1,1,1
1693000221,373.8,51.5,8.0,0.8,6.2,7.4,1,1
1693000222,240.3,56.5,0.7,0.2,3.2,4.8,1,1
1693000223,1161.6,134.5,26.4,42.0,182.7,229.6,5,10
1693000224,277.0,30.0,0.6,0.2,2.1,2.7,1,1
1693000225,260.4,54.4,0.5,0.2,1.9,2.9,1,1
1693000226,260.4,54.4,0.5,0.2,1.9,2.9,1,1
1693000227,260.4,54.4,0.5,0.2,1.9,2.9,1,1
1693000228,337.1,58.7,1.4,3.9,5.9,7.2,1,1
1693000229,427.3,36.5,1.0,0.3,6.5,7.5,1,1
1693000230,427.3,36.5,1.0,0.3,6.5,7.5,1,1
1693000231,230.3,50.1,0.4,0.1,1.7,2.7,1,1
1693000232,363.8,42.6,0.7,0.7,7.8,9.0,1,1
1693000233,387.2,45.1,1.1,0.4,6.3,7.3,1,1
1693000234,227.0,58.7,0.5,0.2,1.4,2.2,1,1
1693000235,363.8,42.6,0.7,0.7,7.8,9.0,1,1
1693000236,380.5,48.6,3.4,1.2,18.6,20.3,2,2
1693000237,373.8,46.5,3.0,0.9,18.0,19.7,2,2
1693000238,400.5,31.5,1.3,1.2,11.4,12.8,1,1
1693000239,188.6,26.1,1.5,0.5,1.0,2.0,1,1
1693000240,200.3,64.4,0.7,6.9,24.0,26.1,2,3
1693000241,247.0,62.9,0.7,0.7,16.9,20.8,2,2
1693000242,317.1,71.5,4.6,14.1,37.3,42.2,2,4
